product_id,product_name,category,price,available_stock,launch_date,is_available,rating
1,Coconut Almond Granola,,133,471,2/16/2025,false,3
2,Savory Oatmeal,,196,379,3/4/2025,true,1
3,Balsamic Glazed Brussels Sprouts,,65,459,7/23/2024,false,1
4,Sweet and Spicy Barbecue Sauce,,186,846,1/15/2025,true,2
5,Children's Gardening Set,,341,414,5/3/2025,false,1
6,Mediterranean Couscous,,334,616,10/18/2024,true,4
7,Instant Camera,,40,880,9/29/2024,true,2
8,Stylish Wireless Earbuds,,195,886,11/1/2024,true,3
9,Oats,,377,371,4/6/2025,false,5
10,Asian Noodle Salad Kit,,450,534,4/2/2025,true,1
11,Blackberry Compote,,300,901,11/7/2024,true,5
12,Vacuum Sealer Machine,,463,603,9/9/2024,true,1
13,Sweet Pea Hummus,,387,505,12/18/2024,false,5
14,Portable Hammock,,340,387,9/2/2024,false,2
15,Basmati Rice,,283,769,5/9/2025,true,2
16,Blue Corn Tortilla Chips,,381,114,2/10/2025,true,4
17,Pet Training Pads,,129,785,6/13/2025,false,4
18,Decorative LED Neon Sign,,246,355,9/8/2024,true,5
19,Sliced Cheese,,202,812,10/11/2024,false,2
20,Infrared Space Heater,,143,485,11/25/2024,true,2
21,Spicy Vegetable Sushi Rolls,,30,842,9/12/2024,true,3
22,Buffalo Chicken Dip,,466,575,6/18/2025,false,3
23,Bird Feeder,,340,633,12/23/2024,false,1
24,Spinach and Feta Stuffed Chicken Breast,,398,48,10/19/2024,true,2
25,Granola Clusters,,142,151,7/25/2024,false,4
26,Children's Gardening Set,,99,601,7/2/2025,false,5
27,High-Speed HDMI Cable,,301,408,7/22/2024,false,5
28,Sesame Noodles,,268,94,11/26/2024,false,5
29,Portable Charcoal Grill,,322,722,1/22/2025,true,3
30,Curried Lentil Salad,,15,28,1/31/2025,true,1
31,Personal Blender,,158,422,3/15/2025,true,5
32,Personal Blender with Cups,,41,225,8/5/2024,true,4
33,Portable Charcoal Grill,,295,725,1/2/2025,false,5
34,Fashionable Belt Bag,,177,685,9/21/2024,false,3
35,Kids' Trampoline,,211,785,6/23/2025,false,3
36,Eco-Friendly Yoga Blocks,,21,658,10/19/2024,false,3
37,Chic Ankle Strap Heels,,39,541,12/2/2024,false,5
38,Sooji (Semolina),,85,612,4/9/2025,false,5
39,Classic Chicken Noodle Soup,,442,537,10/27/2024,false,5
40,Chunky Knit Sweater,,106,882,1/15/2025,true,5
41,Roasted Garlic Butter,,6,107,10/3/2024,true,2
42,Travel Luggage Scale,,335,747,2/9/2025,true,4
43,Yoga Strap,,367,398,2/24/2025,true,5
44,Fleece Hoodie,,34,615,11/19/2024,false,2
45,Canvas Tote Bag,,304,228,5/27/2025,true,2
46,Pineapple Rings,,50,347,10/4/2024,true,2
47,Smoky BBQ Jackfruit,,44,538,10/5/2024,true,1
48,Honey-Balsamic Vinaigrette,,241,429,8/18/2024,false,5
49,Outdoor Camping Hammock,,429,821,9/26/2024,false,5
50,Rainbow Veggie Chips,,426,729,12/13/2024,false,1
51,Pineapple Rings,,344,778,3/28/2025,true,2
